,age,bmi,elective_surgery,height,icu_id,pre_icu_los_days,readmission_status,weight,albumin_apache,apache_2_diagnosis,apache_3j_diagnosis,apache_post_operative,arf_apache,bilirubin_apache,bun_apache,creatinine_apache,gcs_eyes_apache,gcs_motor_apache,gcs_unable_apache,gcs_verbal_apache,glucose_apache,heart_rate_apache,hematocrit_apache,intubated_apache,map_apache,resprate_apache,sodium_apache,temp_apache,urineoutput_apache,ventilated_apache,wbc_apache,d1_diasbp_max,d1_diasbp_min,d1_diasbp_noninvasive_max,d1_diasbp_noninvasive_min,d1_heartrate_max,d1_heartrate_min,d1_mbp_max,d1_mbp_min,d1_mbp_noninvasive_max,d1_mbp_noninvasive_min,d1_resprate_max,d1_resprate_min,d1_spo2_max,d1_spo2_min,d1_sysbp_max,d1_sysbp_min,d1_sysbp_noninvasive_max,d1_sysbp_noninvasive_min,d1_temp_max,d1_temp_min,h1_diasbp_max,h1_diasbp_min,h1_diasbp_noninvasive_max,h1_diasbp_noninvasive_min,h1_heartrate_max,h1_heartrate_min,h1_mbp_max,h1_mbp_min,h1_mbp_noninvasive_max,h1_mbp_noninvasive_min,h1_resprate_max,h1_resprate_min,h1_spo2_max,h1_spo2_min,h1_sysbp_max,h1_sysbp_min,h1_sysbp_noninvasive_max,h1_sysbp_noninvasive_min,h1_temp_max,h1_temp_min,d1_albumin_max,d1_albumin_min,d1_bilirubin_max,d1_bilirubin_min,d1_bun_max,d1_bun_min,d1_calcium_max,d1_calcium_min,d1_creatinine_max,d1_creatinine_min,d1_glucose_max,d1_glucose_min,d1_hco3_max,d1_hco3_min,d1_hemaglobin_max,d1_hemaglobin_min,d1_hematocrit_max,d1_hematocrit_min,d1_inr_max,d1_inr_min,d1_platelets_max,d1_platelets_min,d1_potassium_max,d1_potassium_min,d1_sodium_max,d1_sodium_min,d1_wbc_max,d1_wbc_min,h1_glucose_max,h1_glucose_min,h1_inr_max,h1_inr_min,d1_arterial_pco2_max,d1_arterial_pco2_min,d1_arterial_ph_max,d1_arterial_ph_min,d1_arterial_po2_max,d1_arterial_po2_min,apache_4a_hospital_death_prob,apache_4a_icu_death_prob,aids,cirrhosis,diabetes_mellitus,hepatic_failure,immunosuppression,leukemia,lymphoma,solid_tumor_with_metastasis
age,1.0,-0.08707731105390304,0.06732043623384422,-0.1099374931873756,-0.02425672710768662,0.04987244877197487,,-0.1272522397587511,-0.11663271685512998,0.022914056745965253,-0.05605972862538057,0.05924636015441958,-0.0016840562916228625,-0.04498122631869209,0.23718705466036338,0.05617824393317991,0.026363294170575806,0.02584262623782619,-0.007753549974579502,-0.0178288651293551,0.007042705738217421,-0.1494945282287741,-0.11885255259463214,0.01539639496682488,-0.015870000328137335,0.03732766679061053,0.037733762739259984,-0.08226523452598002,-0.17657689693358616,0.04129636655455833,-0.010785971617913157,-0.06295797815454038,-0.2115975941096679,-0.06041837718366384,-0.20929085733932185,-0.13541724372697733,-0.14370478967306902,0.006123217148120571,-0.1317553436124394,0.006198238507562879,-0.1302056067271826,0.03220563502384267,0.034438603851345395,-0.03862110012237833,-0.08448833166644312,0.10764249133919124,-0.060160336734294405,0.10701593143296152,-0.06032196408618049,-0.08276391817285486,-0.07000178292071424,-0.14712190269603637,-0.20012876385133188,-0.13683212740504538,-0.19333052292146855,-0.16478849761309097,-0.16545359865807244,-0.059301190137710014,-0.10895828692404527,-0.05771700250155928,-0.10373240987376743,0.028071011511253397,0.02997518036824441,-0.06114397306592851,-0.0731279760809686,0.04764548736201947,-0.005168735159032431,0.047146501755559456,-0.003227267858880884,-0.08658276448169487,-0.09107247273256351,-0.1214923728270511,-0.11235893104735996,-0.04505187479035312,-0.041632385956243134,0.2397309764839857,0.2671554595101494,0.023312302701089947,0.04759417233081268,0.053198340012105994,0.07116131236783231,0.012537821338503487,0.06711843172957166,0.06415896715658123,0.10002889885774163,-0.15360840904993342,-0.1454574773693177,-0.12316244332775286,-0.12069377923838462,0.10734611456419947,0.11826189517420206,-0.0826740194496065,-0.08233804511649519,0.06118525544125478,0.11146459343645446,0.007208777553088377,0.0386751892999847,-0.003008631596301148,-0.0015380996757116626,-0.07470754611847549,-0.05978327730188308,0.10734611456419947,0.11826189517420206,0.04101242090737188,0.056249098326515215,0.04750850497293889,0.05596046473789353,-0.019144614616312467,-0.046020485326828904,0.2233519418506846,0.12807793182262775,-0.029477493974658476,-0.028064725049156435,0.0779084666748997,-0.020061430787479472,0.025006861831729014,0.03031030208293982,0.023334720013557967,0.025924108577655505
bmi,-0.08707731105390304,1.0,0.015921407073496718,-0.05631603403359825,0.0014026917373478327,-0.0015305780994268683,,0.8773391271116863,0.05200940922201005,0.026047333313493595,-0.006514308573312329,0.01541996985828532,-0.005823277384919934,-0.0013718527398661803,0.04939228332242819,0.0691762706108276,0.012927499984409604,0.02109129619022796,0.006613494422736063,0.0285145085185361,0.10143988355695437,-0.02111772228311053,0.0976598767016716,0.03771402383351553,0.055916116125656105,0.0017254376906059906,-0.02050895096506634,0.038596836508486936,0.054969234203494435,0.07101370327265799,0.030683913583129014,0.0544020388930958,-0.00759854443690022,0.05527020831232319,-0.007641370952301258,-0.030566933489398432,0.01581926784543336,0.06205415114205021,0.015275093412123466,0.06267504169209356,0.015639797179983775,0.0038436283147375697,-0.010762470791368068,-0.06897750256074349,-0.024742637605004666,0.08123189520706625,0.05235197479013065,0.08186309750042887,0.053079874341848444,0.02307746206599069,0.03580775394218935,0.03237836469180739,0.006165156872291843,0.032497459375887355,0.00359248737504727,-0.015905022980768704,-0.004584434412100488,0.03920664222847073,0.019264926314270882,0.03937222130710426,0.019838646673231316,0.005343339769908887,-0.0057020386085843006,-0.057468934537221184,-0.03237941680337819,0.05959983496077747,0.045602688955450256,0.06136209517181767,0.04647690938665199,0.04227056748337396,0.04829975678867123,0.05020859580993564,0.05307553759659702,-0.0018362345976318563,-0.0018061431072738568,0.04946423154096892,0.054964189615227955,0.06542654059419313,0.06995103913177537,0.06836740798006297,0.07004674093734814,0.09980513500997706,0.13470216735130444,0.09636779982384307,0.09302306314462835,0.057186278391691256,0.06136572996506011,0.09167794019509415,0.09245913085047347,0.015614640895043755,0.020253366765393205,0.019119829032807255,0.018634398957296138,0.08724038110996361,0.09345663632517769,-0.02436884198069464,-0.016095239853225096,0.02432272713180222,0.02352338551380816,0.06686636900568836,0.07529897228254206,0.015614640895043755,0.020253366765393205,0.18435520311104941,0.18535800571841587,-0.0522043592185693,-0.060156983511482916,-0.09533713226617042,-0.10907024488458562,-0.04229211595604332,-0.018797509844642492,-0.020434324674467794,-0.0023768446747504286,0.17294320602784857,-0.001854678345944867,-0.03114382148056271,-0.013375280281089405,-0.01001713897808481,-0.0433798703807581
elective_surgery,0.06732043623384422,0.015921407073496718,1.0,0.023620085384261656,-0.054996802225120295,0.13370448621737052,,0.026899737297689973,-0.024966368730152885,0.3670402305181686,0.7750248047761149,0.9082467762773618,-0.027356640489814992,-0.015510219141589524,-0.15658473350714922,-0.10057531053353541,0.0098302681843888,0.015782598519818343,0.012190978587363807,-0.013365457469538454,-0.027102930138927023,-0.06985274310352955,-0.11934426334124038,0.16083108857593884,-0.00314064912131793,-0.14085661531068605,0.046774714998339975,-0.04054524976476244,0.022914901625410832,0.14652618366785197,0.07841373987212705,-0.19170612180414934,0.007190255441762775,-0.1858510853839868,0.01747197564112701,-0.07356931464379032,-0.02568486143865979,-0.1417500046120406,0.012453105693130358,-0.1502515738353671,0.022283561669290682,-0.06351468623988907,-0.17237819103249089,0.05025622554200104,0.036398541307512675,-0.09589422638558422,0.029359052197800765,-0.10460480011573732,0.03468417852700182,0.0771947952505492,-0.03310422561885607,-0.13107382708941331,-0.09773437992972138,-0.09828304431497764,-0.054554912682007975,-0.11302482625047809,-0.12776268993598847,-0.06455880936983877,-0.07152524650910508,-0.0668863018667077,-0.04190853906546007,-0.1920957905577063,-0.24976097687933993,0.09300074832946525,0.05946344536689808,-0.027398513205707017,-0.036431194303900544,-0.03938210254806607,-0.02163563898375031,-0.10476346633538285,-0.15176107919786874,-0.016187195549880587,-0.030844105550244368,-0.01688161288491645,-0.023696535211867556,-0.15278410489503474,-0.15533845338410274,-0.07352214595710099,-0.09213655161439285,-0.09804514682353016,-0.09985785574222683,-0.01443560900045255,-0.004181683019593553,0.009555915267497439,0.019669442529649594,-0.05572233167457508,-0.1147829419919023,-0.0717196373570482,-0.13443675429651789,-0.11262818508112608,-0.12584948269772064,-0.05501307628063404,-0.0864350535651918,0.09810309081243566,0.03498788784611519,0.05692699628387197,0.02690203308407771,0.09837281317553055,0.040978834808566324,-0.09810627753591622,-0.11858120621363806,-0.11262818508112608,-0.12584948269772064,-0.008744255067696768,-0.051061202765058614,0.07450066909555947,0.011893247946110986,0.18202301637239962,0.021262433243624097,-0.18636617208657802,-0.15575337106273032,-0.006229495432325849,-0.0315121950075459,0.0016453529507538553,-0.034700407098922144,-0.014694619417802984,-0.01758667815672714,-0.008215222156693904,0.015368624807340768
height,-0.1099374931873756,-0.05631603403359825,0.023620085384261656,1.0,0.018419411558087812,-0.008075105058441447,,0.3919669419970852,0.06167116690707903,0.0016297722364207005,0.015268412281856297,0.025276318358030483,-0.01047349901297585,0.040743341537346676,0.019395052904092394,0.05807169482174315,-0.008601090366880487,-0.013907406401900272,-0.0015412571315101854,0.00935971364061569,-0.006517435261782438,-0.02471181411689963,0.12709536823015222,0.019905504725274973,0.03353515155015619,-0.05696542714220205,-0.02441021606853844,0.014942288374859006,0.08094781467604202,0.0071920654378159685,-0.016120391201406088,0.03415272102466556,0.13678851503070474,0.03444537594626438,0.13758266925866675,-0.020743491881081808,-0.0292604985604439,0.021501667037617203,0.09362210746445442,0.022126977379102502,0.09509993637280904,-0.02628867337288274,-0.05949986040349506,-0.024351444661715127,0.008569789398824024,-0.0054139736814358035,0.04886330894770851,-0.005549960703284139,0.05027322420424871,0.02333615168557024,0.005732671275960643,0.07604716082953068,0.10450314117058669,0.07704900884054254,0.11090394266457561,-0.01192131628270455,-0.01702382529190568,0.048264852700303805,0.06387699698791863,0.051156449998952754,0.06960170190781115,-0.03683640077754038,-0.050103817202634716,-0.011966030609491165,-0.0006427408820959981,0.006483248367572768,0.01322256483136626,0.006578330137264757,0.01724977476424591,0.013731628241242414,0.011164336337269319,0.06279142719575945,0.06144557460880863,0.042373987428398895,0.04205941201457423,0.01779974500788055,0.018765075725417576,0.0199727532798013,0.025339323378380796,0.05622519548283577,0.057370127685909905,-0.009891476323135431,0.01733799952536538,0.027519553826841882,0.022377134882754744,0.16564768674395955,0.14809085007909603,0.14275841636464906,0.12535345781546942,-0.0011614709712687629,-0.002447260946204513,-0.08679495407771301,-0.08633330967616187,0.053410846074452185,0.06259604166378191,-0.02268495281348905,-0.023472678712469434,-0.012780075446784863,-0.017753486693340176,3.8297877509394917e-05,0.004298623679977591,-0.0011614709712687629,-0.002447260946204513,0.002893439795407731,-0.0018702396395145044,0.007008029398458003,0.01272372771059793,-0.0002435013909310786,-0.0215004075095581,-0.046377598151925895,-0.02059442731678838,0.00929014966261792,0.012043343149456496,-0.0009799001907343887,0.010481298254758386,0.0005298576151163409,0.0017180734288649168,0.00836974092433955,0.004921198215771041
icu_id,-0.02425672710768662,0.0014026917373478327,-0.054996802225120295,0.018419411558087812,1.0,-0.0167831266170097,,0.009509960449764028,0.13490569271021874,-0.029820225408185824,-0.034325906293052245,-0.05220385932989046,-0.008718270906963787,-0.030204017564749056,-0.01782759753843891,-0.020795272771076834,-0.02538480354386538,-0.02355741067666974,-0.03162511559132154,-0.03342556009240976,0.019565624528813576,0.014562295504046825,0.012339690819461971,-0.0754582726578457,-0.0067837743126820055,-0.010378183743214149,-0.04887408462730728,0.005870749946745094,0.07974885055125502,0.0030869877220210088,0.015547693820805793,0.028927728517048577,-0.0385277634126819,0.026879511531001214,-0.04125338577617655,0.002854660358044879,0.014653111707708987,-0.011818079122337717,-0.038683725740217466,-0.013350070161234032,-0.040062640435260304,-0.010208874549057532,-0.03517553798733056,-0.025830140432655677,-0.0074151099633899395,-0.047433542536045925,-0.021858035166438996,-0.046649993976716125,-0.023556017201110377,-0.019147222618302946,-0.0018653335555543463,-0.0031476139146035817,0.0068690870504093905,-0.012093888465502512,-0.0024879372921589094,6.193127477852064e-05,0.0164676975498276,-0.01858327449382577,-0.01175856028950686,-0.01939671770339361,-0.0199874017120419,-0.011489629213448335,-0.00931937512810032,-0.01655790177792758,0.005743345894730255,-0.047543748889299575,-0.007544891305677652,-0.050179418596050074,-0.011963139540748029,-0.02145065818289238,-0.003898570373649671,0.13711462037589384,0.12646587431846884,-0.02897073620640012,-0.029357444276181036,-0.015864351921037065,-0.023809127457476098,0.027150853751868348,0.0035081707856647122,-0.017354313907917623,-0.02381325444364939,0.013687230575956857,0.003898933240885706,-0.04834408175895015,-0.05640153369423442,0.019735791329890555,0.013048136478956748,0.01815356887916136,0.012616681181382297,0.013636053983197428,0.014383868476914936,0.015858921419378613,0.012179835396513572,-0.00972259804079527,-0.009817300364577532,-0.030229350139722132,-0.053797664226789534,0.015046647643399963,0.01077158511429551,0.050971324601463884,0.04775680347348054,0.013636053983197428,0.014383868476914936,-0.0065477122276633645,0.028495410833002447,-0.028175655417822312,0.0050750142414022915,-0.04411948482729986,0.01318187612891585,0.0005318991137082225,-0.0061167149912655806,0.0006092992942754544,-0.015517359789309876,0.015822725092864438,-0.011746340467969147,-0.03111112343400397,0.001013968762930899,-0.0023360534757793185,-0.014381259110728555
pre_icu_los_days,0.04987244877197487,-0.0015305780994268683,0.13370448621737052,-0.008075105058441447,-0.0167831266170097,1.0,,-0.004422764496040233,-0.14444123155468938,0.0863026201416098,0.08914104846248343,0.12780915769988144,0.047990644746818814,0.07188291752879208,0.04018399300045792,0.02550952590173837,-0.024837075469057994,-0.01410493941456796,0.008790003702000433,-0.04582952233757107,-0.012218719464573204,0.05056950523061071,-0.14699809855236373,0.05184238060819627,-0.03340320477381669,0.017839042440485783,-0.007318036905717834,0.008597159489743345,-0.00724604822234965,0.0865660787431157,0.05652211615655486,-0.05319207041969622,-0.0422088906474221,-0.05225487368206456,-0.04248774774091036,0.060807562406206495,0.05665251425664792,-0.05170194351619014,-0.046880003015626975,-0.0553383463132094,-0.04650124680273562,0.030758743779046645,0.008906870993059979,0.02726216263977515,-0.02445197174520194,-0.03765052802282084,-0.04593144916111601,-0.040015588306618756,-0.04543800566741815,0.039215025678309215,-0.0021722553122746494,-0.05698737538257936,-0.05685319943373431,-0.05341393137327892,-0.05420606820769517,0.05670449024072992,0.05481302816319635,-0.05237838992720867,-0.058429564717642185,-0.05509235059154655,-0.058425022173906015,0.027938028371459516,0.0289129662785056,0.003511924997281922,-0.011809632738224192,-0.04057423598102051,-0.04952966875724434,-0.043677721521733194,-0.049404616678386366,0.01762665453844084,0.0017506614828170467,-0.15144852524578487,-0.15368236826114576,0.07018185607912183,0.0679623631167731,0.049184047749455846,0.05294361262301735,-0.029653776793614663,-0.03345963755103507,0.029472084292542125,0.033465730715828985,-0.003986786988365952,-0.00778223466962587,0.024725457772915235,0.022417832589674665,-0.14111240991478663,-0.15423601782014318,-0.14269001814796223,-0.1506552657832821,0.02991290458111523,0.03112813458016642,0.022160203441549377,0.00827655319494656,0.030314767960359198,0.020039482388793575,-0.006007488244637301,-0.01316335289800874,0.06178636984627349,0.04694302588339454,-0.03985757647587422,-0.043495003418719876,0.02991290458111523,0.03112813458016642,0.011491262032660404,-0.007091479777462829,0.059016582361314796,0.03233306345848021,0.017954105904427795,-0.015963580730116295,0.13803392434951178,0.07549825816413483,0.008840639746938347,0.01902776627166418,0.021637796850121693,0.015062859241686032,0.03269510737749171,0.04185348945606232,0.013953547116890388,0.036581454356370176
readmission_status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weight,-0.1272522397587511,0.8773391271116863,0.026899737297689973,0.3919669419970852,0.009509960449764028,-0.004422764496040233,,1.0,0.07911555085956185,0.026648487481026537,0.0005600178956001085,0.02693575299341402,-0.010784602511020414,0.016437529298109054,0.052858791268009395,0.0886427797353283,0.008699133829828141,0.013836962125679662,0.004636522564728322,0.0305240710365497,0.09304231670312618,-0.03176706259585756,0.1496153406815722,0.04366642533605251,0.06816326085201849,-0.022152455271636173,-0.031476188185398504,0.04335871109149138,0.08705069779548093,0.06917348174309593,0.02184525143856431,0.06785296754914977,0.053189615204408854,0.0688155907963026,0.05351485099626053,-0.03849088527253043,0.0008982320853953795,0.07016459664079407,0.055879399822941704,0.07102519571295389,0.05703939969460205,-0.006198431742767935,-0.03597509702941543,-0.07523615078662821,-0.020837315103463983,0.07666358469817391,0.07193061847744422,0.07726691087788372,0.07331840638667829,0.032038659909525015,0.0361383968210425,0.06387767326770726,0.052399857852947,0.06441803690300267,0.052612012144865855,-0.021802733118238563,-0.01312122546889094,0.05941645205056733,0.04740683339256259,0.06072233937440244,0.050499061580853585,-0.010327188013920999,-0.02604634109252533,-0.06145911999929308,-0.031966229535106375,0.06067600985296005,0.050948825223548586,0.06241192586514797,0.05358461448121925,0.04499855907107235,0.049914613425030466,0.07679021336157209,0.07893235513112601,0.01703193284825554,0.016926034584700263,0.0524955956389864,0.057813714353438926,0.06935015981324343,0.07559175421345302,0.08677665231553516,0.08855535287495524,0.0902930139275017,0.1345878464483885,0.10208302883727013,0.09594485027758512,0.12878996039505103,0.12434653292396934,0.1516044500133913,0.1439815870067642,0.010309378228711055,0.015130801862817903,-0.02010306303049166,-0.020322146162010966,0.1044133269510447,0.11331644545904108,-0.03419891855802877,-0.026847660370141215,0.01699233932714354,0.014407330429029263,0.06373190049982444,0.07333203364454668,0.010309378228711055,0.015130801862817903,0.17500804594365574,0.17246380681740847,-0.04577234355109701,-0.051676552202119135,-0.09062059754032155,-0.1133095698827143,-0.05939689253178007,-0.0267809817855621,-0.01655683461038531,0.002283520874928464,0.1605048796556948,0.0028945453488256746,-0.029641854092810702,-0.012754860536931825,-0.005197217195250471,-0.039255308230601076
albumin_apache,-0.11663271685512998,0.05200940922201005,-0.024966368730152885,0.06167116690707903,0.13490569271021874,-0.14444123155468938,,0.07911555085956185,1.0,0.039685390111088334,-0.08578522886067345,-0.05547872892545545,-0.030451164249373615,-0.13913579080401253,-0.21540035812365046,-0.11741846183503832,0.10454356776895435,0.09441046464698825,-0.028053417153345722,0.12778376936748187,-0.03274457316482457,-0.16826460640270394,0.41701415423481486,-0.11556652522838272,0.15377335822025304,-0.03757074391128211,-0.0038400421896788934,0.0518314298451153,0.13357325274693516,-0.1418023027018251,-0.16210469169948832,0.08965185657704616,0.26812727245425283,0.09004041441813425,0.26838442187329464,-0.22151627964602186,-0.12330951408879424,0.1231200954963116,0.2986982277346333,0.12516511204538489,0.3006883536269644,-0.11474172833592178,0.020230229150222875,-0.09084504562740306,0.14420528485489148,0.12967757207192918,0.3092996139450707,0.13052116843474215,0.3093321643779926,-0.10889320231971668,0.09431627068420474,0.17661247746258818,0.28418781021880457,0.180698079470229,0.28957759620852513,-0.19152471426561415,-0.17436688840127082,0.21884008749203415,0.3079558222389692,0.22355390156034194,0.3136405495693865,-0.11989462384648664,-0.0737727920773498,0.007214537271708926,0.09973076601173367,0.2119041474123487,0.2981147006480068,0.21622684656899496,0.30311181874314724,-0.02448834679781055,0.004263114217931324,0.9613189272207684,0.9381418650726648,-0.14081202254392855,-0.13064574591197914,-0.21386592117981013,-0.21702706727914925,0.47013807689124526,0.487556879845991,-0.11707366329958202,-0.11689770857998309,-0.057095727720307236,0.030755993801411887,0.1554892898838549,0.17029288685546856,0.38453521124038625,0.41351204356676013,0.3826437258585309,0.40360094407333985,-0.18438473189735125,-0.1841280463413382,0.012733983701026267,0.04115964182724032,-0.039705007469841354,0.0216700002242907,-0.025918139107171174,0.012560634690259826,-0.17072908438716322,-0.14542109141377993,0.0019596693764459324,0.008253232619966444,-0.18438473189735125,-0.1841280463413382,0.06398314066275382,0.14102228872682063,0.05650878136795523,0.12435961613426577,-0.002718581796686729,0.05311021218165528,-0.31413713733966386,-0.2803788509347603,-0.02773413782434481,-0.09554931944445359,-0.030084132926260332,-0.08199678565512497,-0.09494393998511609,-0.04019798636456478,-0.023418469361719374,-0.09240034734608807
apache_2_diagnosis,0.022914056745965253,0.026047333313493595,0.3670402305181686,0.0016297722364207005,-0.029820225408185824,0.0863026201416098,,0.026648487481026537,0.039685390111088334,1.0,0.3931101842816085,0.39416797202119275,-0.0035560824046869093,0.035518758452385356,-0.062267800033288585,0.004041403225974901,0.046595809600326846,0.05773727625696862,-0.005246729626194814,0.02073580201071287,-0.054400092281523975,-0.10065383249622714,-0.04941856402532097,0.021830383711848266,0.041950352101292415,-0.0946332299451158,-0.02707377145977062,0.00850210316476485,0.002891932109146914,-0.025349962098124866,-0.03025726291878393,-0.05601017903317556,0.06890508519938532,-0.05344968902089153,0.07314723802632082,-0.12133779520674037,-0.046204805324870216,-0.02172727852460723,0.08248515923783517,-0.02401781969691385,0.08693842600907375,-0.07300144293265692,-0.09697484927612988,0.007133366555807511,0.056385435928960836,0.01777661361916351,0.10361605158761325,0.01505993497599823,0.10701472637856597,-0.0013339387044441822,0.02996023485337104,-0.016775137215081004,0.025938709631245914,-0.0017463275274848212,0.047448484607158614,-0.15176103541693436,-0.14089892221234043,0.02956497583394499,0.052063742292243025,0.0331654786027106,0.06877516907338936,-0.14436168771945138,-0.1600304983765885,0.04383990692211059,0.053740940817825815,0.0637394768763115,0.0805096341809504,0.06270058082061133,0.09010553510521305,-0.05080594692134961,-0.05882209130146064,0.04002283034634399,0.03628177310624459,0.034001105781229654,0.0339887159523057,-0.06382077512055856,-0.06641355223409547,0.018249939068665445,0.009489228935101441,0.0021918468808484865,-0.0006107807636549924,-0.046634432074856146,-0.039406260698843454,0.01129724136866918,0.026541256740697006,-0.016684007403474536,-0.04068347811574491,-0.032915493944692946,-0.05711744726016878,-0.10694276563528987,-0.11618152966809982,0.002461821564670388,-0.01049054954038889,0.055072904644240306,0.040338971507127404,-0.025165282438707658,-0.03523998811008225,-0.023310656225470558,-0.04851838867186692,-0.10377937478808881,-0.11444973508978075,-0.10694276563528987,-0.11618152966809982,-0.05020329181246477,-0.03960349902419736,0.06010886067955374,0.06330866250998946,0.10060923514037257,0.04070536872741859,-0.13999655100491934,-0.15810663598986702,-0.007858634411626868,-0.002472540244954832,0.005743172894187724,-0.0033903771793793217,-0.014445487147236083,-0.0069152636582734085,-0.006704706523674904,0.007618668154297987
